,案號,法官
1,"CHDM,107,交簡,11,20180104,1","

黃士瑋"
2,"CHDM,107,交簡,117,20180131,1","

陳義忠"
3,"CHDM,107,交簡,12,20180105,1","

楊鑫忠"
4,"CHDM,107,交簡,122,20180110,1","

楊鑫忠"
5,"CHDM,107,交簡,128,20180110,1","

梁義順"
6,"CHDM,107,交簡,135,20180117,1","

李昕"
7,"CHDM,107,交簡,138,20180112,1","

楊鑫忠"
8,"CHDM,107,交簡,141,20180112,1","

黃士瑋"
9,"CHDM,107,交簡,157,20180118,1","

黃士瑋"
10,"CHDM,107,交簡,164,20180117,1","

王祥豪"
11,"CHDM,107,交簡,176,20180118,1","

楊鑫忠"
12,"CHDM,107,交簡,179,20180131,1","

陳義忠"
13,"CHDM,107,交簡,183,20180118,1","

楊鑫忠"
14,"CHDM,107,交簡,195,20180118,1","

黃士瑋"
15,"CHDM,107,交簡,200,20180124,1","

林于捷"
16,"CHDM,107,交簡,207,20180129,1","

徐啓惟"
17,"CHDM,107,交簡,224,20180129,1","

楊鑫忠"
18,"CHDM,107,交簡,242,20180131,1","

張琇涵"
19,"CHDM,107,交簡,251,20180131,1","

楊鑫忠"
20,"CHDM,107,交簡,273,20180131,1","

楊鑫忠"
21,"CHDM,107,交簡,30,20180105,1","

楊鑫忠"
22,"CHDM,107,交簡,31,20180104,1","

黃士瑋"
23,"CHDM,107,交簡,32,20180126,1","

陳佳妤"
24,"CHDM,107,交簡,47,20180104,1","

黃士瑋"
25,"CHDM,107,交簡,52,20180117,1","

李昕"
26,"CHDM,107,交簡,54,20180131,1","

林怡君"
27,"CHDM,107,交簡,59,20180105,1","

楊鑫忠"
28,"CHDM,107,交簡,93,20180115,1","

陳明照"
29,"CPEM,106,竹北交簡,756,20180103,1","

林建鼎"
30,"CPEM,106,竹東交簡,281,20180102,1","

林建鼎"
31,"CPEM,107,竹北交簡,17,20180118,1","

林建鼎"
32,"CPEM,107,竹北交簡,19,20180131,1","

楊明箴"
33,"CPEM,107,竹北交簡,20,20180110,1","

蔡欣怡"
34,"CPEM,107,竹北交簡,47,20180131,1","

楊明箴"
35,"CPEM,107,竹北交簡,59,20180123,1","

林麗玉"
36,"CPEM,107,竹北交簡,62,20180129,1","

王佳惠"
37,"CPEM,107,竹北交簡,63,20180129,1","

鄭政宗"
38,"CPEM,107,竹北交簡,67,20180129,1","

莊仁杰"
